Aspect,Polarity,Summary,Review
Output: queue and waiting time,Negative,Always busy on Friday around 4-5pm,I use this supercharger often as it is by my work. Always busy on Friday around 4-5pm. Never busy in the morning. If I get there with 15% or less I get very high charge rate.
Output: Charging speed and efficiency,Negative,not fast,"I used the charger near the exit, but it's not fast..
 Out of 8 chargers, I was the only one using it, but it was charging at 40kw with 72% battery."
Output: Accessibility and Location,Negative,Unless you are staying at this motel don't use it,"I used this charger as my villa we were staying at was right behind this Best Western. Unless you are staying at this motel don't use it. I almost got my car towed even though no one else was using it the entire week I was staying on the island. Very poor relations, especially a sign posted next to charger stating state government sponsorship of the station. Would never stay at this motel."
Output: Charging speed and efficiency,Negative,it will cut your speed in half,"I usually get good speeds here, however don‚Äôt park next to another car if you can leave a spot. This is wired for cabin sharing and it will cut your speed in half. Not sure if there are bathrooms if McDonald‚Äôs is closed during nighttime hours"
Output: queue and waiting time,Negative,it can get busy,I usually go early in the morning when I'm in the poconos. Once the outlets open it can get busy.
Accessibility and Accessibility,Positive,Very convenient location and easy to get to,"I usually stop here when I visit my brother and his family. Very convenient location and easy to get to.
 
 It is located at a Sheetz convenience store. Separate area for charging and a great selection of drinks and food that you can purchase.
 
 Clean restrooms and open 24 hours a day. Sheetz should have more of these"
Amenities and location,Positive,Separate area for charging and a great selection of drinks and food that you can purchase,"I usually stop here when I visit my brother and his family. Very convenient location and easy to get to.
 
 It is located at a Sheetz convenience store. Separate area for charging and a great selection of drinks and food that you can purchase.
 
 Clean restrooms and open 24 hours a day. Sheetz should have more of these"
Customer service,Positive,Clean restrooms and open 24 hours a day,"I usually stop here when I visit my brother and his family. Very convenient location and easy to get to.
 
 It is located at a Sheetz convenience store. Separate area for charging and a great selection of drinks and food that you can purchase.
 
 Clean restrooms and open 24 hours a day. Sheetz should have more of these"
Output: Accessibility and Amenities and location,Neutral,a few convenience shops and fast food chains in walking distance,I visit here a few times a month to charge up. There a few convenience shops and fast food chains in walking distance. Only four spots though so you‚Äôll need to be considerate of other folks.
Output: Amenities and Location,Positive,"Wawa, Chick-fil-a, Zaxby's, I-95, outlet mall",I visited here last trip and love this Tesla charger. The Private parking area is behind Wawa and next to Chick-fil-a. Zaxby‚Äôs is across street if you want to grab something there. There is another charger set on other side of I-95 in old outlet mall so navigate carefully if you are trying to get here.
Output: Accessibility and Availability,Positive,"2 stalls open, Pretty busy though considering its proximity to HEB where you can shop and charge",I visited here on a Weekday evening and there were about 2 stalls open. Pretty busy though considering its proximity to HEB where you can shop and charge. Wish more HEBs had Tesla superchargers...
Output: Accessibility and Amenities and Location,Positive,BnB,"I wanted to add a photo but completely forgotüôÑ. When you pull in, it's a BnB. Very historical lookingüíï. No one questioned me or bugged me about leaving my car there for 2 hoursüôè. Follow the driveway to behind the BnB. You'll see one Tesla Charger & one EV charger on your left. Very well kept chargers. Thank you BnB!"
